,bce_loss,accuracy,precision,recall,f1_score,auroc
0,0.5143920984864235,0.758984386920929,0.7348467707633972,0.6280558705329895,0.6772674918174744,0.8256418108940125
1,0.46305154979228974,0.7879687547683716,0.7595152258872986,0.6929194927215576,0.7246906161308289,0.8583855628967285
2,0.4653048607707024,0.7864843606948853,0.7691461443901062,0.6748406887054443,0.7189139127731323,0.8580725193023682
3,0.45002966895699503,0.796093761920929,0.7759283185005188,0.6997690796852112,0.7358834743499756,0.8677147030830383
4,0.43845014691352846,0.8017187714576721,0.7868817448616028,0.7028428912162781,0.7424918413162231,0.875108540058136
5,0.44091697126626966,0.7985156178474426,0.7809926271438599,0.7057251930236816,0.7414536476135254,0.8730257749557495
6,0.43596295461058615,0.8046093583106995,0.788227915763855,0.7163525819778442,0.750573456287384,0.8771288990974426
7,0.4240038923919201,0.8104687333106995,0.7904283404350281,0.7114476561546326,0.7488612532615662,0.8823493719100952
8,0.4202419152855873,0.8137500286102295,0.796141505241394,0.7215853929519653,0.7570322751998901,0.8848173022270203
9,0.4223355340957642,0.8117969036102295,0.7920980453491211,0.7245844602584839,0.7568386197090149,0.8852987289428711
10,0.43475608110427855,0.8017187714576721,0.7833225131034851,0.7025769948959351,0.7407558560371399,0.8760870695114136
11,0.4289097093045712,0.8046875,0.7821720242500305,0.719261109828949,0.7493985295295715,0.8802475333213806
12,0.43454519018530846,0.8017187714576721,0.7843858003616333,0.7018188834190369,0.7408088445663452,0.8759396076202393
13,0.4131281135231257,0.815234363079071,0.7961864471435547,0.7281534671783447,0.7606518268585205,0.8890308737754822
14,0.42308494344353675,0.8073437213897705,0.7957519888877869,0.7101283073425293,0.7505058646202087,0.882030189037323
15,0.41781465664505957,0.8102343678474426,0.7861344814300537,0.7261789441108704,0.7549682855606079,0.8873316645622253
16,0.4175861817598343,0.8153125047683716,0.7940865755081177,0.7302388548851013,0.7608255743980408,0.8867001533508301
17,0.4108709639310837,0.8149218559265137,0.794136106967926,0.7323290705680847,0.7619813084602356,0.8889689445495605
18,0.40740499936044217,0.8192187547683716,0.8096916079521179,0.717128336429596,0.7606041431427002,0.8901030421257019
19,0.4099410083144903,0.8159375190734863,0.8054711222648621,0.7176015377044678,0.759001612663269,0.8905149102210999
20,0.40335359156131745,0.823046863079071,0.8129526972770691,0.7334230542182922,0.7711427807807922,0.8945907354354858
21,0.4022051726281643,0.8221874833106995,0.8097720146179199,0.7270423173904419,0.7661803960800171,0.8946130275726318
22,0.40525648519396784,0.8192968964576721,0.8140469789505005,0.7285119295120239,0.7689079642295837,0.8934791088104248
23,0.40734132304787635,0.8158593773841858,0.8088774085044861,0.7186064124107361,0.7610744833946228,0.8920348286628723
24,0.39753156319260596,0.8239843845367432,0.8147606253623962,0.7403115630149841,0.7757539749145508,0.8986574411392212
25,0.3986103704571724,0.8237500190734863,0.8136740922927856,0.726404070854187,0.767566442489624,0.8953598141670227
26,0.40559481918811796,0.8181250095367432,0.8106701374053955,0.7198151350021362,0.7625458836555481,0.8933435678482056
27,0.40096798531711103,0.8199218511581421,0.8049285411834717,0.7403809428215027,0.7713066339492798,0.8950358033180237
28,0.4027118115872145,0.8217968940734863,0.8075932860374451,0.731209933757782,0.7675058841705322,0.89381343126297
29,0.3929877862334251,0.8282812237739563,0.8238095045089722,0.7188365459442139,0.7677514553070068,0.8984525203704834
30,0.4093537622690201,0.8153906464576721,0.7978991866111755,0.7305250763893127,0.7627272009849548,0.8914094567298889
31,0.40384674683213234,0.8199218511581421,0.8142609596252441,0.7218059301376343,0.7652510404586792,0.8942630887031555
32,0.3900416072458029,0.8258593678474426,0.81514573097229,0.7380585670471191,0.7746891379356384,0.9005340933799744
33,0.3851329791545868,0.8302343487739563,0.8149148225784302,0.7536983489990234,0.7831120491027832,0.9044703245162964
34,0.40017375953495504,0.825390636920929,0.8089839816093445,0.738095223903656,0.7719155550003052,0.8958244323730469
35,0.394822750389576,0.8239062428474426,0.8161192536354065,0.7291505932807922,0.7701875567436218,0.8993520140647888
36,0.4018447981774807,0.8187500238418579,0.8029442429542542,0.7340896129608154,0.766974687576294,0.8955328464508057
37,0.3928043720126152,0.825390636920929,0.8134250640869141,0.7443723678588867,0.7773683071136475,0.8996199369430542
38,0.3990861400961876,0.8194531202316284,0.8023715615272522,0.739172101020813,0.7694762945175171,0.8966803550720215
39,0.39153066009283066,0.8290625214576721,0.8126801252365112,0.7554535269737244,0.7830227017402649,0.901498019695282
40,0.3886508555710316,0.828125,0.81148362159729,0.7622100710868835,0.7860754132270813,0.9034600853919983
41,0.3916694400459528,0.8213281035423279,0.7956814169883728,0.752601146697998,0.7735419273376465,0.8998637199401855
42,0.3991331261396408,0.8228906393051147,0.8031161427497864,0.7541326284408569,0.7778539657592773,0.8973797559738159
43,0.3828761465847492,0.8285156488418579,0.812045693397522,0.7519230842590332,0.7808287143707275,0.9040608406066895
44,0.38853628903627396,0.8270312547683716,0.8119500875473022,0.753942608833313,0.7818719148635864,0.9030594825744629
45,0.3988280541449785,0.8249218463897705,0.7983512878417969,0.745853066444397,0.7712098360061646,0.8964762091636658
46,0.38337216012179853,0.8271093964576721,0.8080723285675049,0.7472783923149109,0.7764872312545776,0.905193567276001
47,0.39476060956716535,0.8246093988418579,0.8037974834442139,0.7540701031684875,0.778140127658844,0.8988525867462158
48,0.39025421246886255,0.8292187452316284,0.8201271295547485,0.7432795763015747,0.7798146605491638,0.9009154438972473
49,0.3822732478380203,0.8299999833106995,0.8065008521080017,0.7414761185646057,0.7726227641105652,0.9031844139099121
